Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,Mar Chiquita,10.0,1423.0,19.0,3622.0,26.0,3044.0
Buenos Aires,San Antonio De Areco,15.0,1168.0,19.0,2873.0,18.0,2569.0
Buenos Aires,General Juan Madariaga,11.0,909.0,19.0,2637.0,23.0,2375.0
Buenos Aires,Navarro,10.0,828.0,19.0,2341.0,30.0,2082.0
Buenos Aires,Adolfo Alsina,11.0,732.0,18.0,1697.0,23.0,1437.0
Buenos Aires,Carlos Casares,16.0,979.0,18.0,2491.0,23.0,2110.0
Buenos Aires,Loberia,16.0,699.0,18.0,1865.0,32.0,1638.0
Buenos Aires,Rauch,4.0,669.0,18.0,1761.0,24.0,1519.0
Buenos Aires,Bragado,11.0,1884.0,17.0,4807.0,22.0,4203.0
Buenos Aires,Roque Perez,12.0,615.0,17.0,1572.0,25.0,1316.0
Buenos Aires,Rojas,14.0,1027.0,17.0,2724.0,23.0,2362.0
Buenos Aires,Coronel Dorrego,13.0,632.0,17.0,1609.0,20.0,1418.0
Buenos Aires,Ensenada,11.0,2860.0,17.0,7776.0,18.0,6660.0
Buenos Aires,Monte,9.0,1098.0,16.0,3031.0,18.0,2380.0
Buenos Aires,Arrecifes,13.0,1435.0,16.0,3542.0,20.0,2961.0
Buenos Aires,Carmen De Areco,14.0,785.0,16.0,1927.0,19.0,1709.0
Buenos Aires,Daireaux,7.0,790.0,16.0,1986.0,20.0,1828.0
Buenos Aires,Las Flores,9.0,1101.0,15.0,2771.0,39.0,2543.0
Buenos Aires,Saavedra,12.0,785.0,15.0,2109.0,18.0,1799.0
Buenos Aires,Guamini,12.0,460.0,15.0,1189.0,18.0,1063.0
Buenos Aires,Rivadavia,4.0,942.0,15.0,2317.0,20.0,1873.0
Buenos Aires,General Paz,4.0,639.0,15.0,1705.0,25.0,1390.0
Buenos Aires,Carlos Tejedor,12.0,628.0,15.0,1557.0,19.0,1266.0
Buenos Aires,Colon,7.0,1112.0,15.0,2851.0,16.0,2561.0
Buenos Aires,General Las Heras,12.0,836.0,15.0,2054.0,16.0,1823.0
Buenos Aires,Tornquist,13.0,570.0,14.0,1549.0,20.0,1238.0
Buenos Aires,General Alvear,4.0,429.0,14.0,1137.0,26.0,912.0
Buenos Aires,General Viamonte,11.0,1002.0,14.0,2538.0,19.0,2039.0
Buenos Aires,Adolfo Gonzales Chaves,11.0,523.0,13.0,1401.0,16.0,1170.0
Buenos Aires,Puan,12.0,541.0,13.0,1459.0,18.0,1232.0
Buenos Aires,Suipacha,9.0,535.0,13.0,1328.0,14.0,1257.0
Buenos Aires,Tapalque,9.0,486.0,13.0,1125.0,22.0,1059.0
Buenos Aires,Pinamar,4.0,1719.0,12.0,4519.0,10.0,3979.0
Buenos Aires,General Arenales,9.0,655.0,11.0,1535.0,11.0,1404.0
Buenos Aires,General La Madrid,10.0,474.0,11.0,1263.0,16.0,980.0
Buenos Aires,Benito Juarez,7.0,916.0,11.0,2277.0,13.0,2015.0
