ID_DEPTO,Departamento,ID_PROV
295,Magallanes,78
296,Magdalena,6
297,Maipu,50
298,Maipu,22
299,Maipu,6
300,Malargue,50
301,Malvinas Argentinas,6
302,Mar Chiquita,6
303,Maraco,42
304,Marcos Juarez,14
305,Marcos Paz,6
306,Martires,26
307,Matacos,34
308,Mayor Luis J. Fontana,22
309,Mburucuya,18
310,Mercedes,6
311,Mercedes,18
312,Merlo,6
313,Metan,66
314,Minas,14
315,Minas,58
316,Mitre,86
317,Molinos,66
318,Monte,6
319,Monte Caseros,18
320,Monte Hermoso,6
321,Montecarlo,54
322,Monteros,90
323,Moreno,86
324,Moreno,6
325,Moron,6
326,Navarro,6
327,Necochea,6
328,Nogoya,30
329,Norquin,58
330,Norquinco,62
331,O'Higgins,22
332,Obera,54
333,Ojo De Agua,86
334,Olavarria,6
335,Oran,66
336,Paclin,10
337,Palpala,38
338,Parana,30
339,Paso De Indios,26
340,Paso De Los Libres,18
341,Patagones,6
342,Patino,34
343,Pehuajo,6
344,Pehuenches,58
345,Pellegrini,6
346,Pellegrini,86
347,Pergamino,6
348,Pichi Mahuida,62
349,Picun Leufu,58
350,Picunches,58
351,Pila,6
352,Pilagas,34
353,Pilar,6
354,Pilcaniyeu,62
355,Pilcomayo,34
356,Pinamar,6
357,Pirane,34
358,Pocho,14
359,Pocito,70
360,Poman,10
361,Presidencia De La Plaza,22
362,Presidente Peron,6
363,Presidente Roque Saenz Pena,14
364,Puan,6
365,Puelen,42
366,Punilla,14
367,Punta Indio,6
368,Quebrachos,86
369,Quemu Quemu,42
370,Quilmes,6
371,Quitilipi,22
372,Ramallo,6
373,Ramon Lista,34
374,Rancul,42
375,Rauch,6
376,Rawson,26
377,Rawson,70
378,Realico,42
379,Rinconada,38
380,Rio Chico,78
381,Rio Chico,90
382,Rio Cuarto,14
383,Rio Grande,94
384,Rio Hondo,86
385,Rio Primero,14
386,Rio Seco,14
387,Rio Segundo,14
388,Rio Senguer,26
389,Rivadavia,66
390,Rivadavia,50
391,Rivadavia,70
392,Rivadavia,86
393,Rivadavia,6
394,Robles,86
395,Rojas,6
396,Roque Perez,6
397,Rosario,82
398,Rosario De La Frontera,66
399,Rosario De Lerma,66
400,Rosario Vera Penaloza,46
401,Saavedra,6
402,Saladas,18
403,Saladillo,6
404,Salavina,86
405,Salliquelo,6
406,Salto,6
407,San Alberto,14
408,San Andres De Giles,6
409,San Antonio,62
410,San Antonio,38
411,San Antonio De Areco,6
412,San Blas De Los Sauces,46
413,San Carlos,66
414,San Carlos,50
415,San Cayetano,6
416,San Cosme,18
417,San Cristobal,82
418,San Fernando,6
419,San Fernando,22
420,San Ignacio,54
421,San Isidro,6
422,San Javier,14
423,San Javier,54
424,San Javier,82
425,San Jeronimo,82
426,San Justo,14
427,San Justo,82
428,San Lorenzo,82
429,San Lorenzo,22
430,San Luis Del Palmar,18
431,San Martin,86
432,San Martin,50
433,San Martin,82
434,San Martin,70
435,San Martin,18
436,San Miguel,6
437,San Miguel,18
438,San Nicolas,6
439,San Pedro,38
440,San Pedro,54
441,San Pedro,6
442,San Rafael,50
443,San Roque,18
444,San Salvador,30
445,San Vicente,6
446,Sanagasta,46
447,Santa Barbara,38
448,Santa Catalina,38
449,Santa Lucia,70
450,Santa Maria,10
451,Santa Maria,14
452,Santa Rosa,50
453,Santa Rosa,10
454,Santa Victoria,66
455,Santo Tome,18
456,Sargento Cabral,22
457,Sarmiento,86
458,Sarmiento,70
459,Sarmiento,26
460,Sauce,18
461,Silipica,86
462,Simoca,90
463,Sobremonte,14
464,Suipacha,6
465,Susques,38
466,Tafi Del Valle,90
467,Tafi Viejo,90
468,Tala,30
469,Tandil,6
470,Tapalque,6
471,Tapenaga,22
472,Tehuelches,26
473,Telsen,26
474,Tercero Arriba,14
475,Tigre,6
476,Tilcara,38
477,Tinogasta,10
478,Toay,42
479,Tolhuin,94
480,Tordillo,6
481,Tornquist,6
482,Totoral,14
483,Trancas,90
484,Trenel,42
485,Trenque Lauquen,6
486,Tres Arroyos,6
487,Tres De Febrero,6
488,Tres Lomas,6
489,Tulumba,14
490,Tumbaya,38
491,Tunuyan,50
492,Tupungato,50
493,Ullum,70
494,Union,14
495,Uruguay,30
496,Ushuaia,94
497,Utracan,42
498,Valcheta,62
499,Valle Fertil,70
500,Valle Grande,38
501,Valle Viejo,10
502,Vera,82
503,Vicente Lopez,6
504,Victoria,30
505,Villa Gesell,6
506,Villaguay,30
507,Villarino,6
508,Vinchina,46
509,Yavi,38
510,Yerba Buena,90
511,Zapala,58
512,Zarate,6
513,Zonda,70
514,Pigue,6
515,Veronica,6
516,Coronel Brandsen,6
517,Santa Fe,82
518,Antartida Argentina,94
