ID_CC,Nombre,Capacidad,ID_DEPTO
257,Casa El Mate,50.0,112.0
306,Casa Elefante,s/d,22.0
234,Casa Epuyen,s/d,112.0
435,Casa Frida,s/d,237.0
252,Casa Gatica,s/d,112.0
668,Casa Grote,95.0,76.0
817,Casa Güemes,s/d,79.0
420,Casa Intermitente,s/d,199.0
19,Casa Jache,130.0,112.0
479,Casa Jirón (FUNDACION DE DEFENSA SOCIAL FUDESO),s/d,257.0
551,Casa Laurel,s/d,325.0
474,Casa Lealtad Peronista Lili Ferrari ,s/d,257.0
478,Casa Lumpen Club Cultural Cannabico ,s/d,257.0
848,Casa Matriz,s/d,77.0
178,Casa Maza,100.0,112.0
907,Casa Municipal de Cultura,s/d,335.0
302,Casa Municipal de la Cultura de Almte. Brown,s/d,22.0
862,Casa Popular Arturo Jauretche,s/d,123.0
493,Casa Popular Hugo Bacchi ,s/d,257.0
423,Casa Popular Maria Claudia Falcone,s/d,203.0
409,Casa Popular Marielle Franco			,s/d,150.0
484,Casa Pulsar ,s/d,257.0
818,Casa Qumanta,s/d,79.0
348,Casa Rayuela,10.0,37.0
161,Casa Rock,450.0,112.0
572,Casa Rodolfo Walsh,s/d,370.0
194,Casa Rodolfo Walsh,150.0,112.0
235,Casa Safiras,s/d,112.0
828,Casa Violeta ,60.0,210.0
480,Casa Zaragoza ,s/d,257.0
393,Casa Zeta,s/d,55.0
517,Casa de Cultura,s/d,283.0
841,Casa de Cultura,s/d,492.0
477,Casa de Cultura y Peña La Salamanca,200.0,257.0
609,Casa de Fuego,s/d,485.0
445,Casa de La Cultura Villa Elisa,300.0,257.0
876,Casa de la Cultura,150.0,511.0
891,Casa de la Cultura,s/d,200.0
1021,Casa de la Cultura,s/d,397.0
875,Casa de la Cultura,s/d,290.0
969,Casa de la Cultura,s/d,250.0
692,Casa de la Cultura,s/d,201.0
887,Casa de la Cultura,60.0,200.0
1041,Casa de la Cultura,650.0,294.0
564,Casa de la Cultura,s/d,347.0
713,Casa de la Cultura,s/d,387.0
577,Casa de la Cultura,s/d,370.0
985,Casa de la Cultura,s/d,267.0
721,Casa de la Cultura - Museo de la Ciudad,80.0,451.0
910,Casa de la Cultura A.WA.WA. ,s/d,232.0
563,Casa de la Cultura Carmen De Patagones,s/d,
768,Casa de la Cultura Cesar Osvaldo Penalver,s/d,158.0
780,Casa de la Cultura Concepción Del Uruguay - E.R.,s/d,495.0
691,Casa de la Cultura Marcelo Pais,100.0,134.0
626,Casa de la Cultura Municipal,s/d,503.0
1060,Casa de la Cultura Sala Angela Loij,431.0,383.0
1040,Casa de la Cultura San Isidro de Lules,296.0,294.0
1052,Casa de la Cultura Viejo Tafí,s/d,467.0
1054,Casa de la Cultura Yerba Buena,s/d,510.0
519,Casa de la Cultura de Lobos,s/d,285.0
411,Casa de la Cultura de Madariaga,s/d,186.0
632,Casa de la Cultura de Pedro Luro,s/d,507.0
939,Casa de la Cultura de Pico Truncado,s/d,139.0
1062,Casa de la Juventud (ex Medio Caño),s/d,496.0
608,Casa de las Artes Tacuarí,s/d,475.0
743,Casa de las Culturas,s/d,419.0
596,Casa del Pueblo Vecinos Solidarios,s/d,445.0
802,Casa del Tantankuy,50.0,225.0
580,Casa evita,s/d,395.0
539,Casa popular Unidos por el barrio,s/d,301.0
158,Casailda,50.0,112.0
141,Casona Cultural Humahuaca,50.0,112.0
290,Cazadores De Arte,s/d,112.0
719,Cañito Cultural,s/d,451.0
256,Cc Amigos De Eladia Blasquez,150.0,112.0
11,Cc Molokai,s/d,112.0
106,Cdca,s/d,112.0
143,Celia Blanco,s/d,112.0
269,Centro Ana Frank ,s/d,112.0
600,Centro Arte y Parte,s/d,469.0
77,Centro Arzuano Mellidense - Cam -,s/d,112.0
165,Centro Barrial y Cultural La Bonavena,s/d,112.0
823,Centro Catalan,s/d,81.0
962,Centro Comunal ,s/d,193.0
472,Centro Cultura y Comunicación,s/d,257.0
870,Centro Cultural,s/d,123.0
984,Centro Cultural,s/d,267.0
25,"Centro Cultural ""MALVINAS ARGENTINAS""",s/d,112.0
735,Centro Cultural 10 de Noviembre,150.0,331.0
979,Centro Cultural 12 de Septiembre,s/d,250.0
328,Centro Cultural 13 de Julio,s/d,37.0
355,Centro Cultural 1° De Mayo,s/d,37.0
276,Centro Cultural 25 De Mayo,466.0,112.0
398,Centro Cultural 7 de Mayo,s/d,86.0
819,Centro Cultural 9 de Marzo. Los Palacios,s/d,
316,Centro Cultural A Cielo Abierto,s/d,37.0
356,Centro Cultural A Cielo Abierto Armando Labollita,s/d,37.0
1066,Centro Cultural ACTUAR ,s/d,496.0
1053,Centro Cultural Aconquija,s/d,510.0
212,Centro Cultural Adan Buenos Aires,284.0,112.0
712,Centro Cultural Agua Escondida - Casa Museo Atahualpa Yupanqui -,s/d,386.0
339,Centro Cultural Alas del Sur,70.0,37.0
674,Centro Cultural Alta Córdoba - Efrain Bischoff,120.0,76.0
748,Centro Cultural Alternativo  CE. CU. AL ,70.0,419.0
615,Centro Cultural Alto Espacio,s/d,487.0
645,Centro Cultural Amarillo,s/d,166.0
617,Centro Cultural Andrés Ferreyra,s/d,487.0
753,Centro Cultural Antu Quillen,s/d,137.0
839,Centro Cultural Argentino,s/d,442.0
801,Centro Cultural Arte Ballet,s/d,142.0
390,Centro Cultural Atilio Marinelli,s/d,53.0
10,Centro Cultural Atlantix,s/d,112.0
601,Centro Cultural Atrapasueños,s/d,469.0
916,Centro Cultural Augusto Conte Grand,s/d,78.0
372,Centro Cultural Azucena Villaflor,s/d,37.0
496,Centro Cultural Azulunala,s/d,257.0
312,Centro Cultural Bella Vista,200.0,37.0
436,Centro Cultural Bernardino Rivadavia,s/d,237.0
288,Centro Cultural Borges- Fund.Para Artes,s/d,112.0
90,Centro Cultural Buda Bar,500.0,112.0
450,Centro Cultural Calle Uno ,s/d,257.0
475,Centro Cultural Camarada Pereyra CCCP,s/d,257.0
345,Centro Cultural Carlino,100.0,37.0
338,Centro Cultural Carlino II,60.0,37.0
616,Centro Cultural Carlos Auyero,s/d,487.0
800,Centro Cultural Casa Taller – Cerro Las Rosas,s/d,142.0
663,Centro Cultural Casa de Pepino,50.0,76.0
651,Centro Cultural Casona Municipal,120.0,76.0
